cenario_id,cenario_nome,cenario_descricao,classificacao_esperada,horario,suporte_vida,energia,comunicacao,habitat,laboratorio,armazenamento,navegacao,propulsao_auxiliar,reserva_percentual,consumo_kwh,geracao_solar_kwh,geracao_auxiliar_kwh,temperatura_interna,temperatura_externa,radiacao,qualidade_comunicacao,velocidade_vento,integridade_sensores,evento_log,alerta_pendente,evento_critico,inconsistencia_proposital,recomendacao_inicial
3,Cenario de falha na comunicacao,O modulo de comunicacao apresenta falha e a qualidade do sinal esta baixa.,ALERTA,16h,1,1,0,1,1,1,1,1,72,49,60,10,24,-60,baixa,22,20,93,Energia permanece estavel.,,,nao,Ativar protocolo de comunicacao de emergencia.
3,Cenario de falha na comunicacao,O modulo de comunicacao apresenta falha e a qualidade do sinal esta baixa.,ALERTA,20h,1,1,0,1,1,1,1,1,72,48,60,10,24,-60,baixa,18,20,93,Sistema recomenda restabelecer comunicacao.,,,nao,Ativar protocolo de comunicacao de emergencia.
4,Cenario de radiacao elevada,O nivel de radiacao esta acima da faixa segura para operacao externa.,ALERTA,00h,1,1,1,1,1,1,1,1,73,50,58,9,23,-58,media,80,25,91,Aumento de radiacao detectado.,Suspender atividades externas.,Radiacao elevada registrada.,nao,Manter tripulacao no habitat e proteger sistemas eletronicos.
4,Cenario de radiacao elevada,O nivel de radiacao esta acima da faixa segura para operacao externa.,ALERTA,04h,1,1,1,1,1,1,1,1,72,51,56,9,23,-58,media,79,26,91,Operacoes externas suspensas.,Proteger equipamentos sensiveis.,,nao,Manter tripulacao no habitat e proteger sistemas eletronicos.
4,Cenario de radiacao elevada,O nivel de radiacao esta acima da faixa segura para operacao externa.,ALERTA,08h,1,1,1,1,1,1,1,1,71,52,55,9,24,-57,alta,78,25,91,Escudo do habitat reforcado.,,,nao,Manter tripulacao no habitat e proteger sistemas eletronicos.
4,Cenario de radiacao elevada,O nivel de radiacao esta acima da faixa segura para operacao externa.,ALERTA,12h,1,1,1,1,1,1,1,1,70,53,54,9,24,-57,alta,78,24,91,Comunicacao permanece estavel.,,,nao,Manter tripulacao no habitat e proteger sistemas eletronicos.
4,Cenario de radiacao elevada,O nivel de radiacao esta acima da faixa segura para operacao externa.,ALERTA,16h,1,1,1,1,1,1,1,1,69,54,53,9,24,-58,alta,77,25,91,Energia dentro da faixa aceitavel.,,,nao,Manter tripulacao no habitat e proteger sistemas eletronicos.
4,Cenario de radiacao elevada,O nivel de radiacao esta acima da faixa segura para operacao externa.,ALERTA,20h,1,1,1,1,1,1,1,1,68,55,52,9,24,-58,alta,77,25,91,Monitoramento ambiental intensificado.,,,nao,Manter tripulacao no habitat e proteger sistemas eletronicos.
5,Cenario critico geral,"Varias falhas ocorrem ao mesmo tempo, comprometendo a missao.",CRITICO,00h,1,1,0,1,0,1,0,1,45,78,30,6,27,-57,media,50,38,76,Energia em nivel critico.,Manter suporte a vida.,Falha de comunicacao.,nao,Entrar imediatamente em modo de emergencia.
5,Cenario critico geral,"Varias falhas ocorrem ao mesmo tempo, comprometendo a missao.",CRITICO,04h,1,1,0,1,0,1,0,1,39,82,28,6,28,-57,alta,42,40,74,Comunicacao principal falhou.,Desligar sistemas nao essenciais.,Energia critica.,nao,Entrar imediatamente em modo de emergencia.
5,Cenario critico geral,"Varias falhas ocorrem ao mesmo tempo, comprometendo a missao.",CRITICO,08h,1,1,0,1,0,1,0,1,34,85,24,6,29,-56,alta,35,42,72,Radiacao elevada detectada.,Ativar comunicacao de emergencia.,Radiacao elevada.,nao,Entrar imediatamente em modo de emergencia.
5,Cenario critico geral,"Varias falhas ocorrem ao mesmo tempo, comprometendo a missao.",CRITICO,12h,1,1,0,1,0,1,0,1,29,88,21,6,31,-56,alta,25,43,70,Temperatura interna acima do recomendado.,Redirecionar energia para habitat.,Navegacao comprometida.,nao,Entrar imediatamente em modo de emergencia.
5,Cenario critico geral,"Varias falhas ocorrem ao mesmo tempo, comprometendo a missao.",CRITICO,16h,1,1,0,1,0,1,0,1,25,90,19,6,32,-57,alta,18,44,69,Laboratorio desligado automaticamente.,,,nao,Entrar imediatamente em modo de emergencia.
5,Cenario critico geral,"Varias falhas ocorrem ao mesmo tempo, comprometendo a missao.",CRITICO,20h,1,1,0,1,0,1,0,1,21,91,18,6,33,-57,alta,12,44,68,Prioridade maxima para suporte a vida.,,,nao,Entrar imediatamente em modo de emergencia.
6,Cenario de falha no suporte a vida,"O modulo de suporte a vida apresenta falha, colocando a tripulacao em risco.",CRITICO,00h,0,1,1,1,1,1,1,1,70,52,58,10,23,-62,media,83,19,89,Falha no suporte a vida detectada.,Reiniciar suporte a vida.,Falha no suporte a vida.,nao,Ativar suporte a vida reserva imediatamente.
6,Cenario de falha no suporte a vida,"O modulo de suporte a vida apresenta falha, colocando a tripulacao em risco.",CRITICO,04h,0,1,1,1,1,1,1,1,69,54,57,10,23,-62,media,82,19,89,Nivel de oxigenio requer verificacao.,Ativar sistema auxiliar de oxigenio.,,nao,Ativar suporte a vida reserva imediatamente.
6,Cenario de falha no suporte a vida,"O modulo de suporte a vida apresenta falha, colocando a tripulacao em risco.",CRITICO,08h,0,1,1,1,1,1,1,1,68,55,56,10,24,-61,media,82,18,89,Habitat permanece pressurizado.,,,nao,Ativar suporte a vida reserva imediatamente.
6,Cenario de falha no suporte a vida,"O modulo de suporte a vida apresenta falha, colocando a tripulacao em risco.",CRITICO,12h,0,1,1,1,1,1,1,1,66,56,55,10,24,-61,media,81,19,89,Energia estavel.,,,nao,Ativar suporte a vida reserva imediatamente.
6,Cenario de falha no suporte a vida,"O modulo de suporte a vida apresenta falha, colocando a tripulacao em risco.",CRITICO,16h,0,1,1,1,1,1,1,1,65,57,55,10,24,-62,media,81,19,89,Equipe tecnica acionada.,,,nao,Ativar suporte a vida reserva imediatamente.
6,Cenario de falha no suporte a vida,"O modulo de suporte a vida apresenta falha, colocando a tripulacao em risco.",CRITICO,20h,0,1,1,1,1,1,1,1,64,58,55,10,24,-62,media,81,19,89,Prioridade maxima para reparo.,,,nao,Ativar suporte a vida reserva imediatamente.
7,Cenario de superaquecimento interno,A temperatura interna do habitat esta acima do limite seguro.,ALERTA,00h,1,1,1,1,1,1,1,1,66,60,55,9,25,-55,media,82,28,92,Aumento gradual da temperatura interna.,Reduzir carga termica.,,nao,Reduzir atividades que geram calor e verificar refrigeracao.
7,Cenario de superaquecimento interno,A temperatura interna do habitat esta acima do limite seguro.,ALERTA,04h,1,1,1,1,1,1,1,1,64,64,54,9,26,-55,media,81,28,92,Sistema termico operando acima do normal.,Verificar sistema de refrigeracao.,,nao,Reduzir atividades que geram calor e verificar refrigeracao.
7,Cenario de superaquecimento interno,A temperatura interna do habitat esta acima do limite seguro.,ALERTA,08h,1,1,1,1,1,1,1,1,62,67,53,9,28,-54,media,80,29,92,Consumo energetico aumentado.,,,nao,Reduzir atividades que geram calor e verificar refrigeracao.
7,Cenario de superaquecimento interno,A temperatura interna do habitat esta acima do limite seguro.,ALERTA,12h,1,1,1,1,1,1,1,1,61,70,52,9,29,-54,media,80,28,92,Habitat ainda operacional.,,,nao,Reduzir atividades que geram calor e verificar refrigeracao.
7,Cenario de superaquecimento interno,A temperatura interna do habitat esta acima do limite seguro.,ALERTA,16h,1,1,1,1,1,1,1,1,59,72,51,9,30,-55,media,79,28,92,Verificacao do controle termico recomendada.,,,nao,Reduzir atividades que geram calor e verificar refrigeracao.
7,Cenario de superaquecimento interno,A temperatura interna do habitat esta acima do limite seguro.,ALERTA,20h,1,1,1,1,1,1,1,1,58,73,50,9,31,-55,media,79,28,92,Monitoramento continuo ativado.,,,nao,Reduzir atividades que geram calor e verificar refrigeracao.
8,Cenario de baixa geracao solar por tempestade de poeira,Uma tempestade de poeira reduz a eficiencia dos paineis solares.,ALERTA,00h,1,1,1,1,1,1,1,1,67,58,35,14,23,-59,media,75,45,88,Tempestade de poeira detectada.,Ativar economia preventiva.,,nao,Ativar modo economia e priorizar sistemas essenciais.
8,Cenario de baixa geracao solar por tempestade de poeira,Uma tempestade de poeira reduz a eficiencia dos paineis solares.,ALERTA,04h,1,1,1,1,1,1,1,1,63,60,28,14,23,-59,media,72,52,88,Geracao solar reduzida.,Reduzir uso do laboratorio.,,nao,Ativar modo economia e priorizar sistemas essenciais.
8,Cenario de baixa geracao solar por tempestade de poeira,Uma tempestade de poeira reduz a eficiencia dos paineis solares.,ALERTA,08h,1,1,1,1,1,1,1,1,59,61,22,14,24,-58,media,70,58,88,Velocidade do vento elevada.,Usar geracao auxiliar.,,nao,Ativar modo economia e priorizar sistemas essenciais.
8,Cenario de baixa geracao solar por tempestade de poeira,Uma tempestade de poeira reduz a eficiencia dos paineis solares.,ALERTA,12h,1,1,1,1,1,1,1,1,55,62,18,14,24,-58,media,69,60,88,Reserva energetica em queda.,,,nao,Ativar modo economia e priorizar sistemas essenciais.
8,Cenario de baixa geracao solar por tempestade de poeira,Uma tempestade de poeira reduz a eficiencia dos paineis solares.,ALERTA,16h,1,1,1,1,1,1,1,1,52,63,17,14,24,-59,media,68,61,88,Geracao auxiliar ativada.,,,nao,Ativar modo economia e priorizar sistemas essenciais.
8,Cenario de baixa geracao solar por tempestade de poeira,Uma tempestade de poeira reduz a eficiencia dos paineis solares.,ALERTA,20h,1,1,1,1,1,1,1,1,49,64,16,14,24,-59,media,68,61,88,Modo economia recomendado.,,,nao,Ativar modo economia e priorizar sistemas essenciais.
9,Cenario de inconsistencia nos sensores,Os dados apresentam conflito entre status dos modulos e leituras numericas.,ALERTA,00h,1,1,1,1,1,1,1,1,80,40,62,10,22,-64,baixa,91,12,94,Status do modulo de energia indica funcionamento normal.,Verificar sensores de energia.,Inconsistencia de telemetria detectada.,sim,Realizar diagnostico dos sensores antes de tomar decisao definitiva.
9,Cenario de inconsistencia nos sensores,Os dados apresentam conflito entre status dos modulos e leituras numericas.,ALERTA,04h,1,1,1,1,1,1,1,1,78,40,61,10,22,-64,baixa,91,12,94,Geracao solar normal nas primeiras leituras.,Validar leitura da reserva energetica.,,sim,Realizar diagnostico dos sensores antes de tomar decisao definitiva.
9,Cenario de inconsistencia nos sensores,Os dados apresentam conflito entre status dos modulos e leituras numericas.,ALERTA,08h,1,1,1,1,1,1,1,1,76,41,60,10,22,-64,baixa,90,12,93,Geracao auxiliar normal nas primeiras leituras.,,,sim,Realizar diagnostico dos sensores antes de tomar decisao definitiva.
9,Cenario de inconsistencia nos sensores,Os dados apresentam conflito entre status dos modulos e leituras numericas.,ALERTA,12h,1,1,1,1,1,1,1,1,74,40,59,10,22,-63,baixa,90,13,92,Reserva energetica ainda coerente.,,,sim,Realizar diagnostico dos sensores antes de tomar decisao definitiva.
9,Cenario de inconsistencia nos sensores,Os dados apresentam conflito entre status dos modulos e leituras numericas.,ALERTA,16h,1,1,1,1,1,1,1,1,72,39,58,10,22,-64,baixa,90,12,91,Sensores apresentam queda de confiabilidade.,,,sim,Realizar diagnostico dos sensores antes de tomar decisao definitiva.
9,Cenario de inconsistencia nos sensores,Os dados apresentam conflito entre status dos modulos e leituras numericas.,ALERTA,20h,1,1,1,1,1,1,1,1,30,40,0,0,22,-64,baixa,90,12,41,Ultimo ciclo apresenta conflito entre status e leitura.,,,sim,Realizar diagnostico dos sensores antes de tomar decisao definitiva.
10,Cenario de modo economia preventivo,"A missao ainda esta estavel, mas existe tendencia de queda na energia.",ALERTA PREVENTIVO,00h,1,1,1,1,1,1,1,1,70,55,54,7,24,-60,media,78,30,94,Reserva energetica ainda aceitavel.,Ativar economia preventiva.,,nao,Ativar modo economia leve antes que a reserva fique baixa.
10,Cenario de modo economia preventivo,"A missao ainda esta estavel, mas existe tendencia de queda na energia.",ALERTA PREVENTIVO,04h,1,1,1,1,1,1,1,1,67,58,52,7,24,-60,media,77,30,94,Consumo apresenta tendencia de aumento.,Acompanhar tendencia de consumo.,,nao,Ativar modo economia leve antes que a reserva fique baixa.
10,Cenario de modo economia preventivo,"A missao ainda esta estavel, mas existe tendencia de queda na energia.",ALERTA PREVENTIVO,08h,1,1,1,1,1,1,1,1,64,61,50,7,25,-59,media,76,31,94,Geracao solar apresenta leve queda.,,,nao,Ativar modo economia leve antes que a reserva fique baixa.
10,Cenario de modo economia preventivo,"A missao ainda esta estavel, mas existe tendencia de queda na energia.",ALERTA PREVENTIVO,12h,1,1,1,1,1,1,1,1,61,64,48,7,25,-59,media,75,31,94,Comunicacao estavel.,,,nao,Ativar modo economia leve antes que a reserva fique baixa.
10,Cenario de modo economia preventivo,"A missao ainda esta estavel, mas existe tendencia de queda na energia.",ALERTA PREVENTIVO,16h,1,1,1,1,1,1,1,1,58,67,46,7,26,-60,media,74,30,94,Sistema recomenda prevencao.,,,nao,Ativar modo economia leve antes que a reserva fique baixa.
10,Cenario de modo economia preventivo,"A missao ainda esta estavel, mas existe tendencia de queda na energia.",ALERTA PREVENTIVO,20h,1,1,1,1,1,1,1,1,56,69,45,7,26,-60,media,74,30,94,Modo economia pode evitar estado critico.,,,nao,Ativar modo economia leve antes que a reserva fique baixa.
